"from","to"
"Prkaa2","Prkar1a"
"Isca2","Clcc1"
"Camk2a","Clcc1"
"Stat3","Opa1"
"Mfn1","Opa1"
"Mpv17","Opa1"
"Svil","Myh9"
"Atp2a2","Ptk2b"
"Lgals3bp","Ptk2b"
"Mcu","Ptk2b"
"Mapk14","Rarres2"
"Akt1","Rarres2"
"Ctnnb1","Rarres2"
"Lmna","Rarres2"
"Akt1","Gpd1l"
"Ptpn1","P4hb"
"Tgfb1","Pml"
"Itgb2","Col1a1"
"Tgfb1","Col1a1"
"Bgn","Col1a1"
"Itgb1","Col1a1"
"Isca2","Mcur1"
"Camk2a","Mcur1"
"Mcu","Mcur1"
"Tgfb1","Ckap4"
"Prkaa1","Mff"
"Fis1","Mff"
"Mmp2","Col18a1"
"Camk2a","Dlg1"
"Isca2","Mylk"
"Prkg1","Mylk"
"Myh9","Mylk"
"Ezr","Msn"
"Pkn1","Nedd4"
"Hp","Mb"
"Cyb5r3","Mb"
"Camk2a","Kcnh2"
"Prkca","Kcnh2"
"Mapk1","Tfam"
"Actr2","Wasl"
"Ptk2b","Crk"
"Bcar1","Crk"
"Ctnnb1","Flnc"
"Cttn","Flnc"
"Mmp2","Sparc"
"Tgfb1","Sparc"
"Mapk14","Tgfbr3"
"Tgfb1","Tgfbr3"
"Smad2","Tgfbr3"
"Prkca","Tgfbr3"
"Saraf","Tgfbr3"
"Kcnh2","Dnaja4"
"Itgb1","Fbln1"
"Tnnc1","Tnnt2"
"Crip2","Tnnt2"
"Tnni3","Tnnt2"
"Myh7","Tnnt2"
"Flnc","Tnnt2"
"Arf6","Cyth2"
"Myd88","Cyth2"
"Tgfbr3","Smurf2"
"Hdac2","Parp14"
"Itgb2","Col3a1"
"Itgb1","Col3a1"
"Pecam1","Fmnl1"
"Hspa9","Igfbp3"
"Iqgap1","Clip1"
"Cdk4","Epha4"
"Itgb1","Col1a2"
"Tnnt2","Tbx20"
"Mapk14","Pdgfrb"
"Mapk1","Pdgfrb"
"Apoe","Pdgfrb"
"Prkaa1","Fstl1"
"Map3k7","Ecsit"
"Akt1","Tie1"
"Bax","Cycs"
"Apaf1","Cycs"
"Prkg1","Ppp1r12a"
"Tgfb1","Fbln2"
"Tgfb1","Fbn1"
"Col3a1","Fbn1"
"Cttn","Kif5b"
"Hspb6","Akip1"
"Wasl","Trip10"
"Tgfb1","Mrtfb"
"Fbn1","Col5a2"
"Tnni3","Tnc"
"Tgfb1","Sart1"
"Gypc","Sart1"
"Cdk4","Cdkn1b"
"Tgfb1","Fkbp15"
"Prkg1","Vasp"
"Tgfb1","Ltbp4"
"Fbn1","Ltbp4"
"Ctnnb1","Ltbp2"
"Tgfb1","Ltbp2"
"Fbn1","Ltbp2"
"Itgb2","Sorbs2"
"Akt1","Yap1"
"Ctnnb1","Yap1"
"Tgfb1","Yap1"
"Smad2","Yap1"
"Foxo1","Yap1"
"Piezo1","Yap1"
"Map3k7","Yap1"
"Amot","Yap1"
"Agrn","Yap1"
"Idh3a","Idh3b"
"Ndufc2","Xdh"
"Adh5","Xdh"
"Idh3a","Idh3g"
"Ctcf","Nckap1"
"Ndufs2","Ndufs7"
"Bckdha","Ppm1k"
"Prkaa1","Prkab1"
"Mapk14","Pla2g4a"
"Akt1","Pla2g4a"
"Mmp2","Mvp"
"Hsp90aa1","Tomm70a"
"Hspa14","Tomm70a"
"Opa1","Tomm70a"
"Gtpbp8","Tbxas1"
"Cox15","Tbxas1"
"Col4a2","Tbxas1"
"Ppif","Trap1"
"Bax","Vdac1"
"Bak1","Vdac1"
"Hspa9","Vdac1"
"Hk1","Vdac1"
"Ppif","Vdac1"
"Hibadh","Vdac1"
"Mff","Vdac1"
"Wasl","Fnbp1l"
"Pdha1","Sirt5"
"Sdha","Sirt5"
"Oxnad1","Sirt5"
"Ezr","Rdx"
"Clic5","Rdx"
"Prkcd","Pdhx"
"Dld","Pdhb"
"Dlat","Pdhb"
"Hspa14","Dusp3"
"Map3k5","Vac14"
"Capn2","Vim"
"Cryab","Vim"
"Plcg2","Vav1"
"Ogt","Sin3a"
"Hdac1","Sin3a"
"Prkaa1","Prkag2"
"Comp","Hadh"
"Prkaa1","Acadvl"
"Acadm","Acadvl"
"Bckdha","Bckdk"
"Hsp90aa1","Pcmt1"
"Hspa14","Pcmt1"
"Actb","Rhot2"
"Akt1","Zfyve21"
"Arf6","Vamp3"
"Emd","Tmem43"
"Lmna","Tmem43"
"Akt1","Rras"
"Itgb1","Rras"
"Plxnd1","Rras"
"Ctnnb1","Tbl1x"
"Hsp90aa1","Smyd2"
"Atp2a2","Trdn"
"Hrc","Trdn"
"Prkar1a","Ywhaz"
"Cryab","Psma3"
"Ctnnb1","Tardbp"
"Rela","Tardbp"
"Capn2","Cast"
"Hdac2","Qrsl1"
"Gstp1","Prxl2a"
"Itgb1","Lum"
"Ctnnb1","Crlf3"
"Tomm20","Tomm40"
"Pdcd6ip","Tsg101"
"Hspb6","Tsg101"
"Hsp90aa1","Sacm1l"
"Tgfb1","Txndc5"
"Ccn2","Txndc5"
"Col1a1","Txndc5"
"Prkca","Rack1"
"Camk2a","Mcee"
"Isca2","Letm1"
"Mfn1","Usp30"
"Mcu","Ndufa10"
"Add1","Add2"
"Nfkb1","Psmb8"
"Lgals3bp","Trim16"
"Itgb2","Zyx"
"Akt1","Zyx"
"Vasp","Zyx"
"Pdgfrb","Ptpn12"
