"from","to"
"Cyc1","Idh3a"
"Pten","Idh3a"
"Idh3b","Idh3a"
"Idh3g","Idh3a"
"Dlat","Idh3a"
"Pdhb","Idh3a"
"Cycs","Idh3a"
"Mdh2","Idh3a"
"Atg16l1","Aco2"
"Ndufs4","Aco2"
"Ndufs2","Aco2"
"Ndufb7","Aco2"
"Ndufa10","Aco2"
"Ndufs1","Aco2"
"Ndufs7","Aco2"
"Ndufv2","Aco2"
"Cyc1","Aco2"
"Pten","Aco2"
"Acadvl","Aco2"
"Idh3b","Aco2"
"Idh3g","Aco2"
"Dlat","Aco2"
"Pdhb","Aco2"
"Cycs","Aco2"
"Mdh2","Aco2"
"Fh1","Aco2"
"Idh3a","Aco2"
"Hdac6","Dld"
"Ndufs4","Dld"
"Ndufs2","Dld"
"Ndufb7","Dld"
"Ndufa10","Dld"
"Ndufs1","Dld"
"Ndufs7","Dld"
"Ndufc2","Dld"
"Ndufv2","Dld"
"Cyc1","Dld"
"Pten","Dld"
"Idh3g","Dld"
"Dlat","Dld"
"Pdhb","Dld"
"Cycs","Dld"
"Mdh2","Dld"
"Idh3a","Dld"
"Aco2","Dld"
"Bin1","Got1"
"Slc25a12","Got1"
"Pten","Got1"
"Col1a1","Col1a2"
"Slc2a4","Lnpep"
"Rac1","Nckap1"
"Actb","Nckap1"
"Dnm1","Nckap1"
"Camk2a","Nckap1"
"Adam10","Nckap1"
"Syn1","Nckap1"
"Bin1","Ctsd"
"Pten","Ctsd"
"Ogt","Lgals3bp"
"Parp14","Lgals3bp"
"Pten","Lgals3bp"
"Atg16l1","Pik3c3"
"Atg3","Pik3c3"
"Gnao1","Slc25a5"
"Cyc1","Slc25a5"
"Itgb1","Slc25a5"
"Cycs","Slc25a5"
"Mdh2","Slc25a5"
"Atg16l1","Prdx2"
"Pten","Prdx2"
"Apoe","Prdx2"
"Prdx1","Prdx2"
"Atg16l1","Ppia"
"Actb","Ppia"
"Bin1","Ppia"
"Hdac1","Ppia"
"Pcna","Ppia"
"Pten","Ppia"
"Bsg","Ppia"
"Akap12","Ppia"
"Aifm1","Ppia"
"Hdac6","Bckdha"
"Hdac6","Bckdhb"
"Atg16l1","Clic1"
"Actb","Clic1"
"Myh10","Clic1"
"Col1a2","Col5a2"
"Msn","Ctsz"
"Anxa1","Ctsz"
"Actb","Dbn1"
"Myh9","Dbn1"
"Myh10","Dbn1"
"Rb1cc1","Dbn1"
"Fhl1","Dbn1"
"Adam10","Dbn1"
"Pik3c3","Dbn1"
"Atg16l1","Decr1"
"Hk1","Decr1"
"Acadvl","Decr1"
"Acaa2","Decr1"
"Mdh2","Decr1"
"Bin1","Dlst"
"Hdac6","Dlst"
"Ndufa10","Dlst"
"Ndufs1","Dlst"
"Ndufv2","Dlst"
"Cyc1","Dlst"
"Adam10","Dlst"
"Dlat","Dlst"
"Idh3a","Dlst"
"Aco2","Dlst"
"Dld","Dlst"
"Prdx1","Fdx1"
"Myh9","Gart"
"Atg16l1","Pdia3"
"Pdia6","Pdia3"
"Hsp90b1","Pdia3"
"Hmgb2","Pdia3"
"Itgb1","Pdia3"
"Adam10","Pdia3"
"Sqstm1","Pdia3"
"Itgb1","Itgav"
"Myh9","Mylk"
"Ppp1r12a","Mylk"
"Atg16l1","Psma3"
"Asah1","Psma3"
