"from","to"
"Map3k7","Syk"
"Rb1","Prkcb"
"Marcks","Prkcb"
"Asap1","Dtnbp1"
"Cmya5","Dtnbp1"
"Syk","Ptpn6"
"Fkbp4","Ahsa1"
"Hsp90aa1","Ahsa1"
"Bin1","Mdh2"
"Hspa9","Mdh2"
"Gnao1","Mdh2"
"Hk1","Mdh2"
"Ndufa10","Mdh2"
"Ndufs1","Mdh2"
"Ndufs7","Mdh2"
"Ndufv2","Mdh2"
"Ndufb5","Mdh2"
"Cyc1","Mdh2"
"Acadvl","Mdh2"
"Acat1","Mdh2"
"Hspd1","Mdh2"
"Cryab","Mdh2"
"Acaa2","Mdh2"
"Dlat","Mdh2"
"Cycs","Mdh2"
"Mapk14","Pelp1"
"Myh9","Ace"
"Atg16l1","Add2"
"Add1","Add2"
"Actb","Basp1"
"Myh9","Basp1"
"Bin1","Basp1"
"Myh10","Basp1"
"Dynll1","Basp1"
"Mapk14","Basp1"
"Pten","Basp1"
"Atg16l1","Tardbp"
"Hdac6","Tardbp"
"Sod1","Tardbp"
"Bin1","Egln1"
"Hnrnpd","Egln1"
"Hnrnpd","Abhd5"
"Pnpla2","Abhd5"
"Akap12","Amot"
"Smad2","Yap1"
"Myh9","Yap1"
"Ctnnb1","Yap1"
"Rb1","Yap1"
"Mecr","Yap1"
"Tubb2a","Yap1"
"Alb","Yap1"
"Amot","Yap1"
"Pnpla2","Plin5"
"Gnb2","Gnaq"
"Myh10","Gnaq"
"Gnb1","Gnaq"
"Gnao1","Gnaq"
"Rb1cc1","Prdx1"
"Pten","Prdx1"
"Myh9","Jup"
"Ctnnb1","Jup"
"Bin1","Jup"
"Myh10","Jup"
"Gnao1","Jup"
"Ctnna1","Jup"
"Ctnnd1","Jup"
"Prpf8","Jup"
"Camk2g","Jup"
"Snca","Vapb"
"Epha4","Vapb"
"Adam10","Vapb"
"Ndufa10","Fh1"
"Ndufs7","Fh1"
"Mdh2","Fh1"
"Gnao1","Idh3a"
"Ndufs4","Idh3a"
"Ndufs2","Idh3a"
"Ndufb7","Idh3a"
"Ndufa10","Idh3a"
"Ndufs1","Idh3a"
"Ndufs7","Idh3a"
